column,required,source
agent_id,true,verified agent row
agent_or_branch_name,true,evidence
company_name,true,evidence
phone,true,evidence
email,false,evidence
office_address,true,evidence
website_url,true,evidence
source_url,true,evidence
evidence_summary,true,evidence
previous_work_summary,false,evidence
postcode,true,evidence or address parse
local_authority,false,postcode/admin lookup
latitude,false,geocode/parcel mapping
longitude,false,geocode/parcel mapping
coverage_parcel_group_ids,true,coverage mapping
trust_score_10,true,scoring rules
overall_data_truth_score_4,true,field truth scores
program_parcel_ids_to_link_later,true,real TerraYield parcel join
notes,true,review/import status
