"score","classification","full_name","extension","size_bytes","matched_needles","content_hits","reasons"
"27","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\local_text_key_hits.csv",".csv","3011857","east-devon-district-council|East Devon","public.parcels|source_url|source_name|source_record_id|parcel_ref|inspire_id","negative:.aays_ultra_one_window; data_file"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0065__parcels.txt",".txt","1116835","east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0066__parcels_city_London.txt",".txt","1116835","east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0067__parcels_city_London_limit_1000.txt",".txt","11845885","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0068__parcels_city_London_top_1000.txt",".txt","1116835","east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0069__parcels_city_London_page_size_1000.txt",".txt","1116835","east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0070__parcels_location_London.txt",".txt","1116835","east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0071__parcels_q_London.txt",".txt","1116835","east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0072__parcels_search_London.txt",".txt","1116835","east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0073__parcels_status_sale_ready.txt",".txt","1116835","east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0074__parcels_status_sale_ready_limit_1000.txt",".txt","11845885","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0075__parcels_city_London_status_sale_ready.txt",".txt","1116835","east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0076__parcels_city_London_status_sale_ready_limit_1000.txt",".txt","11845885","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0077__parcels_sale_ready_true.txt",".txt","1116835","east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0078__parcels_city_London_sale_ready_true.txt",".txt","1116835","east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0079__parcels_detail_light_city_London.txt",".txt","1116835","east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0080__parcels_detail_full_city_London.txt",".txt","1116835","east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0097__map_parcels.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0098__map_parcels_city_London.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0099__map_parcels_city_London_limit_1000.txt",".txt","11877917","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0100__map_parcels_city_London_top_1000.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0101__map_parcels_city_London_page_size_1000.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0102__map_parcels_location_London.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0103__map_parcels_q_London.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0104__map_parcels_search_London.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0105__map_parcels_status_sale_ready.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0106__map_parcels_status_sale_ready_limit_1000.txt",".txt","11877917","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0107__map_parcels_city_London_status_sale_ready.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0108__map_parcels_city_London_status_sale_ready_limit_1000.txt",".txt","11877917","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0109__map_parcels_sale_ready_true.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0110__map_parcels_city_London_sale_ready_true.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0111__map_parcels_detail_light_city_London.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"25","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_wide_recovery\wide_20260502_160636\resp_0112__map_parcels_detail_full_city_London.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:resp_"
"21","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\resp_0253__map_parcels_.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:.aays_ultra_one_window; negative:resp_"
"21","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\resp_0254__map_parcels_city_London.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:.aays_ultra_one_window; negative:resp_"
"21","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\resp_0255__map_parcels_location_London.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:.aays_ultra_one_window; negative:resp_"
"21","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\resp_0256__map_parcels_q_London.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:.aays_ultra_one_window; negative:resp_"
"21","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\resp_0257__map_parcels_search_London.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:.aays_ultra_one_window; negative:resp_"
"21","strong_import_lineage_candidate","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_ultra_one_window\ultra_20260502_164631\resp_0258__map_parcels_town_London.txt",".txt","5858446","17103798|england:east-devon-district-council:17103798|east-devon-district-council|East Devon","source_url|source_name|source_record_id|parcel_ref|inspire_id","path:parcel; path:parcels; negative:.aays_ultra_one_window; negative:resp_"
