"relative_path","line_number","needle","line","signal"
"app\etl\sources\hmlr_inspire.py","0","FILE_NOT_FOUND","","missing_file"
"app\etl\run_hmlr_inspire_low_disk.py","0","FILE_NOT_FOUND","","missing_file"
"app\etl\match\parcel_matcher.py","25","confidence","from app.quality.source_confidence_integration import build_source_confidence_fields","confidence_logic"
"app\etl\match\parcel_matcher.py","26","confidence","from app.services.scoring import compute_confidence_score, freshness_score, should_require_review, source_reliability_score","confidence_logic"
"app\etl\match\parcel_matcher.py","64","local_authority","'local_authority_brownfield': {","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","94","source_url","_SOURCE_URL_HINT_ATTRS = (","source_url_mapping_or_rule"
"app\etl\match\parcel_matcher.py","95","source_url","""source_url"",","source_url_mapping_or_rule"
"app\etl\match\parcel_matcher.py","99","source_url","""verification_source_url"",","source_url_mapping_or_rule"
"app\etl\match\parcel_matcher.py","120","confidence","def _build_match_source_confidence_fields(record: Any, config: dict[str, Any], candidate: ""MatchCandidate"") -> dict[str, Any]:","confidence_logic"
"app\etl\match\parcel_matcher.py","121","source_url","source_url = _first_populated_attr(record, _SOURCE_URL_HINT_ATTRS)","source_url_mapping_or_rule"
"app\etl\match\parcel_matcher.py","122","inspire_id","record_parcel_hint = _first_populated_attr(record, (""parcel_ref"", ""inspire_id"", ""matched_parcel_id""))","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","122","parcel_ref","record_parcel_hint = _first_populated_attr(record, (""parcel_ref"", ""inspire_id"", ""matched_parcel_id""))","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","132","source_url","""source_url"": source_url,","source_url_mapping_or_rule"
"app\etl\match\parcel_matcher.py","134","parcel_ref","""parcel_ref"": record_parcel_hint,","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","143","confidence","return build_source_confidence_fields(payload)","confidence_logic"
"app\etl\match\parcel_matcher.py","159","confidence","forced_confidence_score: float | None = None","confidence_logic"
"app\etl\match\parcel_matcher.py","197","local_authority","rows = session.execute(select(ParcelInspire.local_authority).where(ParcelInspire.local_authority.is_not(None)).distinct()).scalars()","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","202","local_authority","rows = session.execute(select(ParcelInspire.local_authority).where(ParcelInspire.local_authority.is_not(None)).distinct()).scalars()","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","215","local_authority","def _resolve_local_authority_filter(record_local_authority: str | None, covered_authorities: set[str], authority_lookup: dict[str, str | None]) -> str | None:","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","216","local_authority","normalized = _normalize_authority(record_local_authority)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","218","local_authority","return record_local_authority","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","219","local_authority","canonical = _canonicalize_authority(record_local_authority)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","322","inspire_id","func.jsonb_extract_path_text(metadata_jsonb, 'match_hints', 'matched_inspire_id'),","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","326","parcel_ref","func.jsonb_extract_path_text(metadata_jsonb, 'match_hints', 'matched_parcel_ref'),","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","394","source_name","def _record_dq_issue(session: Session, *, run_id: str, source_name: str, source_record_id: str, message: str, severity: str = 'warning', rule_code: str = 'unmatched_record', payload: dict[str, Any] | None = None) -> None:","source_lineage_field"
"app\etl\match\parcel_matcher.py","394","source_record_id","def _record_dq_issue(session: Session, *, run_id: str, source_name: str, source_record_id: str, message: str, severity: str = 'warning', rule_code: str = 'unmatched_record', payload: dict[str, Any] | None = None) -> None:","source_lineage_field"
"app\etl\match\parcel_matcher.py","398","source_name","source_name=source_name,","source_lineage_field"
"app\etl\match\parcel_matcher.py","402","source_record_id","source_record_id=source_record_id,","source_lineage_field"
"app\etl\match\parcel_matcher.py","409","source_name","def _manual_override_candidates(session: Session, source_name: str, source_record_id: str) -> list[MatchCandidate]:","source_lineage_field"
"app\etl\match\parcel_matcher.py","409","source_record_id","def _manual_override_candidates(session: Session, source_name: str, source_record_id: str) -> list[MatchCandidate]:","source_lineage_field"
"app\etl\match\parcel_matcher.py","412","source_name","ManualMatchOverride.source_name == source_name,","source_lineage_field"
"app\etl\match\parcel_matcher.py","413","source_record_id","ManualMatchOverride.source_record_id == source_record_id,","source_lineage_field"
"app\etl\match\parcel_matcher.py","428","local_authority","def _hint_candidates(session: Session, record: Any, local_authority: str | None = None) -> list[MatchCandidate]:","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","430","inspire_id","matched_inspire_id = str(hints.get('matched_inspire_id') or '').strip()","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","431","parcel_ref","matched_parcel_ref = str(hints.get('matched_parcel_ref') or '').strip()","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","433","inspire_id","if matched_inspire_id:","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","434","inspire_id","stmt = select(ParcelInspire.parcel_id).where(ParcelInspire.inspire_id == matched_inspire_id)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","435","local_authority","if local_authority:","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","436","local_authority","stmt = stmt.where(ParcelInspire.local_authority == local_authority)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","441","parcel_ref","if matched_parcel_ref:","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","442","parcel_ref","stmt = select(ParcelInspire.parcel_id).where(ParcelInspire.parcel_ref == matched_parcel_ref)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","443","local_authority","if local_authority:","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","444","local_authority","stmt = stmt.where(ParcelInspire.local_authority == local_authority)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","447","parcel_ref","return [MatchCandidate(parcel_id=int(parcel_id), match_method='metadata_parcel_ref_exact', match_score=99.6)]","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","453","local_authority","def _polygon_candidates(session: Session, geom_value: Any, local_authority: str | None = None) -> list[MatchCandidate]:","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","460","local_authority","if local_authority:","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","461","local_authority","stmt = stmt.where(ParcelInspire.local_authority == local_authority)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","473","local_authority","def _point_candidates(session: Session, point_value: Any, local_authority: str | None = None) -> list[MatchCandidate]:","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","481","local_authority","if local_authority:","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","482","local_authority","stmt = stmt.where(ParcelInspire.local_authority == local_authority)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","495","local_authority","def _polygon_centroid_candidates(session: Session, geom_value: Any, local_authority: str | None = None) -> list[MatchCandidate]:","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","510","local_authority","if local_authority:","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","511","local_authority","stmt = stmt.where(ParcelInspire.local_authority == local_authority)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","536","local_authority","def _postcode_candidates(session: Session, postcode: str | None, local_authority: str | None) -> list[MatchCandidate]:","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","546","local_authority","if local_authority:","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","547","local_authority","stmt = stmt.where(ParcelInspire.local_authority == local_authority)","parcel_identity_mapping"
"app\etl\match\parcel_matcher.py","564","confidence","ListingParcelLink.confidence_score.label('confidence_score'),","confidence_logic"
"app\etl\match\parcel_matcher.py","570","source_name","ListingParcelLink.source_name == 'market_listing_adapter',","source_lineage_field"
"app\etl\match\parcel_matcher.py","573","source_record_id","ListingParcelLink.source_record_id == ListingsMarketAdapter.listing_id,","source_lineage_field"
"app\etl\match\parcel_matcher.py","587","confidence","ListingParcelLink.confidence_score.desc(),","confidence_logic"
"app\etl\match\parcel_matcher.py","609","confidence","bridge_conf = float(row.get('confidence_score') or 0.0)","confidence_logic"
"app\etl\match\parcel_matcher.py","621","confidence","forced_confidence_score=0.78,","confidence_logic"
"app\etl\match\parcel_matcher.py","647","confidence","ListingParcelLink.confidence_score.label('confidence_score'),","confidence_logic"
"app\etl\match\parcel_matcher.py","656","source_name","ListingParcelLink.source_name == 'market_listing_adapter',","source_lineage_field"
"app\etl\match\parcel_matcher.py","659","source_record_id","ListingParcelLink.source_record_id == ListingsMarketAdapter.listing_id,","source_lineage_field"
"app\etl\match\parcel_matcher.py","673","confidence","ListingParcelLink.confidence_score.desc(),","confidence_logic"
"app\etl\match\parcel_matcher.py","701","confidence","bridge_conf = float(row.get('confidence_score') or 0.0)","confidence_logic"
"app\etl\match\parcel_matcher.py","738","confidence","confidence = 0.90 if tier == 'tier_a' else 0.82","confidence_logic"
"app\etl\match\parcel_matcher.py","749","confidence","forced_confidence_score=confidence,","confidence_logic"
