"path","rows","reviewed_like_rows","not_final_like_rows","columns"
"E:\AAYS_DATA\estate_agents\estate011_candidate_review_queue.csv","127","127","1","candidate_id|source_file|source_type|matched_terms|candidate_text_excerpt|phone_like_present|email_like_present|url_like_present|postcode_like_present|truth_score_source_4|notes"
"E:\AAYS_DATA\estate_agents\estate013_review_agent_deep_inspection.csv","4","4","0","candidate_id|review_score_4|review_status|source_file|source_file_exists|has_phone|has_email|has_url|has_postcode|can_be_final_without_human_review|next_action"
"E:\AAYS_DATA\estate_agents\estate014_agent_evidence_extracted.csv","4","4","0","candidate_id|source_file|source_file_exists|extracted_phone|extracted_email|extracted_url|extracted_postcode|evidence_score_4|can_promote_to_verified_final|source_snippet|notes"
"E:\AAYS_DATA\estate_agents\estate015_strict_review_ready_agents.csv","4","4","4","agent_id|candidate_id|agent_or_branch_name|company_name|phone|email|office_address|website_url|source_url|postcode|trust_score_10|overall_data_truth_score_4|verification_status|notes|source_file"
"E:\AAYS_DATA\estate_agents\estate015_strict_review_ready_evidence.csv","4","4","4","evidence_id|agent_id|candidate_id|source_url|source_file|evidence_type|field_supported|truth_score_4|evidence_summary|notes"
"E:\AAYS_DATA\estate_agents\estate016_agent_verified_final_candidate.csv","4","4","1","agent_id|candidate_id|agent_or_branch_name|company_name|phone|email|office_address|website_url|source_url|postcode|local_authority|latitude|longitude|trust_score_10|overall_data_truth_score_4|verification_status|notes|source_file"
"E:\AAYS_DATA\estate_agents\estate016_coverage_groups_final_candidate.csv","4","4","4","agent_id|candidate_id|parcel_group_id|coverage_method|coverage_truth_score_4|source_url|source_file|notes"
"E:\AAYS_DATA\estate_agents\estate016_evidence_sources_final_candidate.csv","4","0","0","evidence_id|agent_id|candidate_id|source_url|source_file|evidence_type|field_supported|truth_score_4|evidence_summary|verified_at|notes"
"E:\AAYS_DATA\estate_agents\estate_agent_candidates_from_local_artifacts_003.csv","127","127","1","candidate_id|source_file|source_type|matched_terms|candidate_text_excerpt|phone_like_present|email_like_present|url_like_present|postcode_like_present|truth_score_source_4|notes"
"E:\AAYS_DATA\estate_agents\estate_agent_evidence_sources_final.csv","4","0","0","evidence_id|agent_id|candidate_id|source_url|source_file|evidence_type|field_supported|truth_score_4|evidence_summary|verified_at|notes"
"E:\AAYS_DATA\estate_agents\estate_agent_unverified_candidates_012.csv","123","123","123","candidate_id|source_file|matched_terms|phone_like_present|email_like_present|url_like_present|postcode_like_present|review_score_4|review_status|notes"
"E:\AAYS_DATA\estate_agents\estate_agent_verified_final.csv","4","4","1","agent_id|candidate_id|agent_or_branch_name|company_name|phone|email|office_address|website_url|source_url|postcode|local_authority|latitude|longitude|trust_score_10|overall_data_truth_score_4|verification_status|notes|source_file"
"E:\AAYS_DATA\estate_agents\estate_agent_verified_review_candidates_012.csv","4","4","4","candidate_id|source_file|matched_terms|phone_like_present|email_like_present|url_like_present|postcode_like_present|review_score_4|review_status|notes"
"E:\AAYS_DATA\estate_agents\estate_final_excel_required_columns_012.csv","19","1","0","column|required|source"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-091-validation-label-template-20260515_021141.csv","22","0","0","validation_case_id|verification_id|listing_id|geometry_verdict|geometry_evidence_type|geometry_uncertainty_m|postcode_standardized|local_authority_standardized|ask_price|normalized_area_m2|reviewer_label|reviewer_confidence|evidence_checked|issue_type|corrected_verdict|reviewer_notes"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-091-validation-label-template-20260515_021151.csv","22","0","0","validation_case_id|verification_id|listing_id|geometry_verdict|geometry_evidence_type|geometry_uncertainty_m|postcode_standardized|local_authority_standardized|ask_price|normalized_area_m2|reviewer_label|reviewer_confidence|evidence_checked|issue_type|corrected_verdict|reviewer_notes"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-092-supplemental-sample-20260515_022900.csv","4","0","0","supplemental_case_id|verification_id|listing_id|geometry_verdict|geometry_evidence_type|geometry_uncertainty_m|postcode_standardized|local_authority_standardized|ask_price|normalized_area_m2|reviewer_label|reviewer_confidence|evidence_checked|issue_type|corrected_verdict|reviewer_notes"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-092-supplemental-sample-20260515_022949.csv","4","0","0","supplemental_case_id|verification_id|listing_id|geometry_verdict|geometry_evidence_type|geometry_uncertainty_m|postcode_standardized|local_authority_standardized|ask_price|normalized_area_m2|reviewer_label|reviewer_confidence|evidence_checked|issue_type|corrected_verdict|reviewer_notes"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-095-risk-preview-20260515_024128.csv","120","120","0","verification_id|listing_id|listing_url|listing_url_canonical|ask_price|price_per_m2|normalized_area_m2|postcode_standardized|local_authority_standardized|geometry_verdict|geometry_evidence_type|geometry_uncertainty_m|field_confidence_json|side_lengths_m_json|perimeter_m|source_urls_json|decision_reason|verified_polygon_geojson|source_polygon_original_site_status|risk_label|acceptance_status|policy_reason"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-095-risk-preview-20260515_024129.csv","120","120","0","verification_id|listing_id|listing_url|listing_url_canonical|ask_price|price_per_m2|normalized_area_m2|postcode_standardized|local_authority_standardized|geometry_verdict|geometry_evidence_type|geometry_uncertainty_m|field_confidence_json|side_lengths_m_json|perimeter_m|source_urls_json|decision_reason|verified_polygon_geojson|source_polygon_original_site_status|risk_label|acceptance_status|policy_reason"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-097-risk-preview-v2-20260515_025239.csv","120","120","0","verification_id|listing_id|listing_url|listing_url_canonical|ask_price|price_per_m2|normalized_area_m2|postcode_standardized|local_authority_standardized|geometry_verdict|geometry_evidence_type|geometry_uncertainty_m|field_confidence_json|side_lengths_m_json|perimeter_m|source_urls_json|decision_reason|verified_polygon_geojson|source_polygon_original_site_status|risk_label_v2|acceptance_status_strict|policy_reason_v2"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-097-risk-preview-v2-20260515_025249.csv","120","120","0","verification_id|listing_id|listing_url|listing_url_canonical|ask_price|price_per_m2|normalized_area_m2|postcode_standardized|local_authority_standardized|geometry_verdict|geometry_evidence_type|geometry_uncertainty_m|field_confidence_json|side_lengths_m_json|perimeter_m|source_urls_json|decision_reason|verified_polygon_geojson|source_polygon_original_site_status|risk_label_v2|acceptance_status_strict|policy_reason_v2"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-103-completed_labels_auto_conservative-20260515_131718.csv","26","26","0","validation_case_id|verification_id|listing_id|geometry_verdict|geometry_evidence_type|geometry_uncertainty_m|postcode_standardized|local_authority_standardized|ask_price|normalized_area_m2|reviewer_label|reviewer_confidence|evidence_checked|issue_type|corrected_verdict|reviewer_notes|label_source"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-103-completed_labels_auto_conservative-20260515_133839.csv","26","26","0","validation_case_id|verification_id|listing_id|geometry_verdict|geometry_evidence_type|geometry_uncertainty_m|postcode_standardized|local_authority_standardized|ask_price|normalized_area_m2|reviewer_label|reviewer_confidence|evidence_checked|issue_type|corrected_verdict|reviewer_notes|label_source"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-106-review_tracking_template-20260515_151612.csv","26","0","0","case_id|verification_id|listing_id|geometry_verdict|current_label|current_issue|check_url|url_status|postcode_status|authority_status|polygon_status|checked|final_decision|notes"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-107-review_tracking_autofilled-20260515_155052.csv","26","0","0","case_id|verification_id|listing_id|geometry_verdict|current_label|current_issue|check_url|url_status|postcode_status|authority_status|polygon_status|checked|final_decision|notes"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\aays-112-parcel-elevation-evidence-export-20260519.csv","50","1","50","parcel_id|source_listing_id|listing_url|local_authority|postcode_area|centroid_lon|centroid_lat|geometry_source|geometry_confidence|dem_source|dem_product|dem_resolution_m|dem_vertical_datum|elevation_centroid_m_asl|elevation_mean_m_asl|elevation_min_m_asl|elevation_max_m_asl|elevation_std_m|sampling_method|sample_count|coverage_ratio_pct|source_url|source_tile_or_bbox|source_date_or_release|processing_run_id|processed_at_utc|qa_status|evidence_grade|notes"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate011_candidate_review_queue.csv","127","127","1","candidate_id|source_file|source_type|matched_terms|candidate_text_excerpt|phone_like_present|email_like_present|url_like_present|postcode_like_present|truth_score_source_4|notes"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate013_review_agent_deep_inspection.csv","4","4","0","candidate_id|review_score_4|review_status|source_file|source_file_exists|has_phone|has_email|has_url|has_postcode|can_be_final_without_human_review|next_action"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate014_agent_evidence_extracted.csv","4","4","0","candidate_id|source_file|source_file_exists|extracted_phone|extracted_email|extracted_url|extracted_postcode|evidence_score_4|can_promote_to_verified_final|source_snippet|notes"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate015_strict_review_ready_agents.csv","4","4","4","agent_id|candidate_id|agent_or_branch_name|company_name|phone|email|office_address|website_url|source_url|postcode|trust_score_10|overall_data_truth_score_4|verification_status|notes|source_file"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate015_strict_review_ready_evidence.csv","4","4","4","evidence_id|agent_id|candidate_id|source_url|source_file|evidence_type|field_supported|truth_score_4|evidence_summary|notes"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate016_agent_verified_final_candidate.csv","4","4","1","agent_id|candidate_id|agent_or_branch_name|company_name|phone|email|office_address|website_url|source_url|postcode|local_authority|latitude|longitude|trust_score_10|overall_data_truth_score_4|verification_status|notes|source_file"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate016_coverage_groups_final_candidate.csv","4","4","4","agent_id|candidate_id|parcel_group_id|coverage_method|coverage_truth_score_4|source_url|source_file|notes"
"C:\AAYS_GITHUB_BRIDGE_CLEAN2\ai-results\estate016_evidence_sources_final_candidate.csv","4","0","0","evidence_id|agent_id|candidate_id|source_url|source_file|evidence_type|field_supported|truth_score_4|evidence_summary|verified_at|notes"
