"rank_score","deep_score","path","exists","extension","detected_terms","likely_parcel_master","next_action"
"7","18","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_air_quality_scores.geojson","True",".geojson","parcel_id;parcel;geometry;geom;lat;lon;centroid;postcode;local_authority","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","18","C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\docs\chatgpt_handoff\github_visible_source_lineage_20260516\evidence\PUBLIC_PARCELS_METADATA.json","True",".json","parcel_id;parcel;geometry;geom;centroid;postcode;local_authority","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","18","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\run_20260502_191619\endpoint__map_sales-history_parcels.json","True",".json","parcel_id;parcel;geometry;geom;lat;postcode;local_authority","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","16","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_topography_L4_HIGH_sample_with_air_quality.geojson","True",".geojson","parcel_id;parcel;geometry;geom;lat;lon;centroid","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","16","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_security_scores_rechecked_0_120m.geojson","True",".geojson","parcel_id;parcel;geometry;geom;centroid","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","16","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_security_scores_rechecked_0_120m_spatial.geojson","True",".geojson","parcel_id;parcel;geometry;geom;lon;centroid","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","16","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_security_scores_nearest_lsoa_rescue.geojson","True",".geojson","parcel_id;parcel;geometry;geom;centroid","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","16","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_topography_sample_points_with_air_quality.geojson","True",".geojson","parcel_id;parcel;geometry;geom;lat;lon;centroid","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","16","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist_worker\data\parcel_security_scores_uplift_no_downgrade.geojson","True",".geojson","parcel_id;parcel;geometry;geom;centroid","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","16","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_topography_L2_MEDIUM_sample_with_air_quality.geojson","True",".geojson","parcel_id;parcel;geometry;geom;lat;lon;centroid","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","16","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_security_scores_uplift_no_downgrade.geojson","True",".geojson","parcel_id;parcel;geometry;geom;centroid","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","16","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist_worker\data\parcel_security_scores_nearest_lsoa_rescue.geojson","True",".geojson","parcel_id;parcel;geometry;geom;centroid","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","16","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist_worker\data\parcel_security_scores_rechecked_0_120m_spatial.geojson","True",".geojson","parcel_id;parcel;geometry;geom;lon;centroid","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","16","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_security_scores_uplift_no_downgrade_with_air_quality.geojson","True",".geojson","parcel_id;parcel;geometry;geom;lat;lon;centroid","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","16","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist_worker\data\parcel_security_scores_rechecked_0_120m.geojson","True",".geojson","parcel_id;parcel;geometry;geom;centroid","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","14","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\05_london_bbox_sample_parcels_with_air_quality.csv","True",".csv","parcel_id;parcel;lat;lon;local_authority","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","13","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\public\aays\london_parcel_topography_confidence\parcel_topography_L4_HIGH_sample.geojson","True",".geojson","parcel_id;parcel;geometry;geom","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","13","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\public\aays\london_parcel_topography_confidence\parcel_topography_sample_points.geojson","True",".geojson","parcel_id;parcel;geometry;geom","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","13","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\public\aays\london_parcel_topography_confidence\parcel_topography_L2_MEDIUM_sample.geojson","True",".geojson","parcel_id;parcel;geometry;geom","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","13","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\aays\london_parcel_topography_confidence\parcel_topography_sample_points.geojson","True",".geojson","parcel_id;parcel;geometry;geom","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","13","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\aays\london_parcel_topography_confidence\parcel_topography_L4_HIGH_sample.geojson","True",".geojson","parcel_id;parcel;geometry;geom","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","13","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\aays\london_parcel_topography_confidence\parcel_topography_L2_MEDIUM_sample.geojson","True",".geojson","parcel_id;parcel;geometry;geom","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"6","11","C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\terrayield_land_intelligence\docs\chatgpt_handoff\github_visible_source_lineage_20260516\evidence\SPECIFIC_PARCEL_477_SOURCE_FIELDS_RAW.json","True",".json","parcel_id;parcel;postcode;local_authority","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","11","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_security_match_summary.json","True",".json","parcel;geometry;geom;lon;centroid","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","11","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist_worker\data\parcel_security_match_summary.json","True",".json","parcel;geometry;geom;lon;centroid","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","9","C:\Users\cagda\Documents\GitHub\AAYS\security_accuracy_expansion\schemas\parcel_security_evidence_schema.json","True",".json","parcel_id;parcel;title","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","9","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_air_quality_score_manifest_step36.json","True",".json","parcel;lat;lon;centroid;postcode","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","9","C:\Users\cagda\Documents\GitHub\AAYS\.tmp_widescope_final_qa_20260515\security_accuracy_expansion\schemas\parcel_security_evidence_schema.json","True",".json","parcel_id;parcel;title","strong_candidate","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","7","C:\Users\cagda\Documents\GitHub\AAYS\data\inspire\britain_parcel_coverage_index.json","True",".json","parcel;lon","possible","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist\data\meta\britain_parcel_coverage_index.json","True",".json","parcel;lon","possible","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\public\aays\london_parcel_topography_confidence\parcel_topography_manifest.json","True",".json","parcel;lon","possible","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\public\aays\london_parcel_topography_confidence\parcel_topography_summary.json","True",".json","parcel;lon","possible","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\aays\london_parcel_topography_confidence\parcel_topography_summary.json","True",".json","parcel;lon","possible","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\aays\london_parcel_topography_confidence\parcel_topography_manifest.json","True",".json","parcel;lon","possible","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\dist_worker\data\meta\britain_parcel_coverage_index.json","True",".json","parcel;lon","possible","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\meta\britain_parcel_coverage_index.json","True",".json","parcel;lon","possible","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"7","7","C:\Users\cagda\Documents\GitHub\AAYS\england_map_web\data\parcel_candidate_inventory_step36.json","True",".json","parcel;lat","possible","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"6","4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_122153\topics\parcel_display_policy.json","True",".json","parcel","possible","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
"6","4","C:\Users\cagda\Documents\GitHub\AAYS\terrayield_land_intelligence\.aays_next_fix\057_wide_manifest_continue_safe_20260505_122153\topics\multi_parcel.json","True",".json","parcel","possible","open top strong_candidate and confirm actual TerraYield parcel_id and geometry fields"
